   freq	  % doc	sequence
   2843	  0.22%	era
   2840	  1.63%	----------------------
   2836	  0.15%	74
   2835	  0.15%	67
   2820	  0.15%	59
   2820	  0.15%	58
   2815	  0.15%	ir
   2811	  0.15%	73
   2807	  0.15%	78
   2786	  0.15%	70
   2782	  0.15%	61
   2781	  0.22%	rat
   2740	  0.14%	ia
   2692	  0.14%	ab
   2673	  0.21%	0.0
   2643	  0.14%	ci
   2623	  1.58%	-----------------------
   2609	  0.14%	ee
   2570	  0.13%	1.
   2545	  0.13%	ow
   2487	  0.13%	da
   2482	  0.13%	pu
   2476	  0.19%	sta
   2470	  0.26%	with
   2439	  0.19%	per
   2419	  1.52%	------------------------
   2384	  0.19%	val
   2373	  0.12%	ay
   2350	  0.18%	com
   2341	  0.12%	01
   2337	  0.18%	age
   2336	  0.18%	ass
   2332	  0.12%	wh
   2328	  0.18%	e-0
   2316	  0.12%	ol
   2302	  0.24%	ould
   2299	  0.18%	pro
   2296	  0.24%	this
   2292	  0.12%	2.
   2266	  0.18%	ode
   2255	  0.18%	cal
   2242	  0.18%	par
   2233	  0.17%	not
   2233	  1.46%	-------------------------
   2204	  0.17%	her
   2187	  0.29%	tions
   2168	  0.17%	ted
   2140	  0.17%	lat
   2120	  0.11%	ie
   2111	  0.11%	s.
   2109	  0.17%	ver
   2109	  0.22%	time
   2090	  0.22%	ment
   2078	  0.11%	sc
   2074	  0.22%	sion
   2062	  0.16%	are
   2061	  1.40%	--------------------------
   2032	  0.11%	bo
   1979	  0.10%	oo
   1979	  0.16%	ame
   1979	  0.10%	ls
   1964	  0.10%	ad
   1952	  0.15%	mod
   1948	  0.10%	ap
   1945	  0.15%	mpl
   1939	  0.10%	rr
   1919	  0.15%	use
   1902	  1.34%	---------------------------
   1890	  0.15%	lic
   1889	  0.15%	ere
   1868	  0.15%	tat
   1859	  0.29%	double
   1853	  0.15%	ost
   1843	  0.14%	res
   1836	  0.14%	ers
   1831	  0.14%	nce
   1806	  0.14%	lin
   1803	  0.14%	ile
   1789	  0.23%	const
   1782	  0.14%	ine
   1775	  0.14%	ica
   1756	  1.28%	----------------------------
   1755	  0.37%	function
   1749	  0.14%	ess
   1709	  0.13%	get
   1705	  0.18%	type
   1701	  0.13%	ssi
   1694	  0.13%	ini
   1687	  0.13%	e-1
   1678	  0.13%	out
   1673	  0.26%	stream
   1665	  0.17%	erat
   1645	  0.21%	inter
   1642	  0.13%	ari
   1642	  0.13%	ran
   1617	  1.22%	-----------------------------
   1610	  0.17%	ctor
   1606	  0.13%	ive
   1595	  0.12%	tin
   1587	  0.12%	tic
   1581	  0.12%	ite
   1563	  0.12%	ant
   1556	  0.16%	ther
   1547	  0.12%	dat
   1529	  0.24%	object
   1506	  0.12%	ens
   1489	  1.17%	------------------------------
   1486	  0.12%	nit
   1461	  0.11%	end
   1457	  0.11%	ity
   1426	  0.11%	ist
   1405	  0.15%	0.00
   1395	  0.11%	but
   1376	  0.11%	tho
   1373	  0.14%	para
   1368	  1.11%	-------------------------------
   1367	  0.11%	sin
   1348	  0.11%	iti
   1342	  0.11%	ase
   1330	  0.14%	comp
   1321	  0.10%	man
   1317	  0.14%	stat
   1291	  0.10%	nta
   1288	  0.17%	value
   1287	  0.10%	ome
   1282	  0.10%	eve
   1268	  0.13%	void
   1254	  1.05%	--------------------------------
   1214	  0.13%	name
   1206	  0.13%	tati
   1182	  0.12%	able
   1150	  0.99%	---------------------------------
   1147	  0.18%	return
   1145	  0.12%	ical
   1141	  0.12%	stri
   1136	  0.12%	ting
   1126	  0.12%	ring
   1115	  0.15%	model
   1092	  0.11%	gene
   1091	  0.17%	erator
   1087	  0.14%	ption
   1059	  0.94%	----------------------------------
   1057	  0.17%	should
   1051	  0.11%	thin
   1044	  0.11%	file
   1042	  0.11%	init
   1042	  0.19%	=======
   1034	  0.13%	param
   1030	  0.11%	mple
   1024	  0.11%	aria
   1015	  0.13%	class
   1001	  0.16%	lation
    973	  0.89%	-----------------------------------
    967	  0.15%	ctions
    958	  0.18%	include
    943	  0.20%	timestep
    903	  0.19%	========
    896	  0.84%	------------------------------------
    864	  0.20%	infection
    857	  0.13%	ration
    849	  0.11%	publi
    829	  0.13%	vector
    824	  0.80%	-------------------------------------
    807	  0.11%	ement
    802	  0.15%	ulation
    793	  0.17%	#include
    791	  0.17%	operator
    784	  0.18%	=========
    770	  0.10%	which
    756	  0.75%	--------------------------------------
    717	  0.11%	genera
    715	  0.11%	ations
    703	  0.11%	static
    694	  0.11%	public
    693	  0.71%	---------------------------------------
    680	  0.18%	==========
    665	  0.10%	string
    659	  0.17%	checkpoint
    637	  0.67%	----------------------------------------
    620	  0.15%	functions
    606	  0.11%	license
    595	  0.12%	decision
    586	  0.17%	===========
    584	  0.63%	-----------------------------------------
    554	  0.10%	compile
    553	  0.10%	version
    542	  0.11%	agegroup
    534	  0.59%	------------------------------------------
    514	  0.12%	namespace
    507	  0.16%	============
    487	  0.55%	-------------------------------------------
    463	  0.12%	population
    443	  0.51%	--------------------------------------------
    436	  0.15%	=============
    433	  0.35%	*******************************
    419	  0.35%	********************************
    413	  0.13%	intervention
    405	  0.48%	---------------------------------------------
    405	  0.35%	*********************************
    391	  0.35%	**********************************
    379	  0.14%	==============
    377	  0.34%	***********************************
    371	  0.12%	transmission
    370	  0.44%	----------------------------------------------
    363	  0.34%	************************************
    349	  0.34%	*************************************
    342	  0.42%	-----------------------------------------------
    335	  0.33%	**************************************
    331	  0.13%	===============
    321	  0.33%	***************************************
    314	  0.39%	------------------------------------------------
    307	  0.32%	****************************************
    293	  0.31%	*****************************************
    291	  0.12%	================
    287	  0.37%	-------------------------------------------------
    279	  0.31%	******************************************
    265	  0.30%	*******************************************
    262	  0.34%	--------------------------------------------------
    255	  0.11%	=================
    251	  0.29%	********************************************
    239	  0.32%	---------------------------------------------------
    237	  0.28%	*********************************************
    229	  0.28%	**********************************************
    228	  0.11%	==================
    221	  0.27%	***********************************************
    216	  0.29%	----------------------------------------------------
    213	  0.27%	************************************************
    205	  0.26%	*************************************************
    205	  0.10%	===================
    197	  0.26%	**************************************************
    195	  0.27%	-----------------------------------------------------
    189	  0.25%	***************************************************
    181	  0.25%	****************************************************
    177	  0.25%	------------------------------------------------------
    173	  0.24%	*****************************************************
    165	  0.23%	******************************************************
    161	  0.23%	-------------------------------------------------------
    157	  0.23%	*******************************************************
    149	  0.22%	********************************************************
    148	  0.22%	--------------------------------------------------------
    141	  0.21%	*********************************************************
    138	  0.21%	---------------------------------------------------------
    133	  0.20%	**********************************************************
    131	  0.20%	----------------------------------------------------------
    125	  0.19%	***********************************************************
    124	  0.19%	-----------------------------------------------------------
    118	  0.18%	------------------------------------------------------------
    118	  0.18%	************************************************************
    112	  0.18%	-------------------------------------------------------------
    111	  0.18%	*************************************************************
    106	  0.17%	--------------------------------------------------------------
    104	  0.17%	**************************************************************
    100	  0.16%	---------------------------------------------------------------
     97	  0.16%	***************************************************************
     94	  0.16%	----------------------------------------------------------------
     90	  0.15%	****************************************************************
     89	  0.15%	-----------------------------------------------------------------
     84	  0.14%	------------------------------------------------------------------
     83	  0.14%	*****************************************************************
     80	  0.14%	-------------------------------------------------------------------
     76	  0.13%	******************************************************************
     76	  0.13%	--------------------------------------------------------------------
     73	  0.13%	---------------------------------------------------------------------
     70	  0.13%	----------------------------------------------------------------------
     69	  0.12%	*******************************************************************
     67	  0.12%	-----------------------------------------------------------------------
     64	  0.12%	------------------------------------------------------------------------
     62	  0.11%	********************************************************************
     61	  0.12%	-------------------------------------------------------------------------
     58	  0.11%	--------------------------------------------------------------------------
     55	  0.11%	---------------------------------------------------------------------------
     52	  0.10%	----------------------------------------------------------------------------
1555110 unique sequences; 508 printed; 3830049 total characters
